anomaly_id,ticker,company,news_event_date,market_reaction_date,event_timing,direction,adjusted_close_return_pct,qqq_return_pct,qqq_excess_return_pct,excess_return_z_60d,reported_daily_volume,prior_20d_median_volume,relative_volume_x,catalyst_family,leading_catalyst,transmission_channel,scope,causal_attribution_confidence,primary_evidence_url,reaction_evidence_url,market_history_url,caveat
TECH-001,NVDA,NVIDIA Corporation,2023-05-24,2023-05-25,after_close,up,24.37,2.43,21.94,14.26,1543911000,370675000,4.17,earnings_and_guidance,"NVIDIA forecast about $11 billion of Q2 revenue as generative-AI demand accelerated, far above prevailing expectations.",future_revenue_and_AI_compute_demand,idiosyncratic_with_sector_readthrough,High,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,https://www.investing.com/news/stock-market-news/nvidia-close-to-becoming-first-trilliondollar-chip-firm-after-stellar-forecast-3090653,https://finance.yahoo.com/quote/NVDA/history/,"QQQ also rallied 2.43%, but NVDA still outperformed it by 21.94 percentage points. Historical volume is vendor-reported and reflects later stock splits."
TECH-002,NVDA,NVIDIA Corporation,2024-02-21,2024-02-22,after_close,up,16.40,2.93,13.47,7.80,865100000,489052000,1.77,earnings_and_guidance,"Quarterly revenue rose 265% year over year and the outlook reinforced that demand for AI accelerators continued to exceed expectations.",AI_compute_demand_and_earnings_expectations,idiosyncratic_with_sector_readthrough,High,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-Fourth-Quarter-and-Fiscal-2024/,https://www.investing.com/news/stock-market-news/ai-leader-nvidia-rises-as-forecast-tops-wall-streets-lofty-goals-3310840,https://finance.yahoo.com/quote/NVDA/history/,"A strong QQQ session amplified the absolute move; the benchmark-adjusted move remained exceptional."
TECH-003,NVDA,NVIDIA Corporation,2024-09-03,2024-09-03,regular_session,down,-9.52,-3.04,-6.49,-2.16,477155100,328762300,1.45,sector_and_valuation_repricing,"A broad semiconductor and AI-valuation selloff accelerated after soft U.S. manufacturing data; no single issuer announcement explains the regular-session fall.",risk_appetite_macro_data_and_AI_valuation,sector_wide,Medium,https://www.investing.com/news/economy/us-stocks-tumble-as-september-starts-investors-cool-on-chips-3603578,https://www.investing.com/news/stock-market-news/nvidia-and-chip-index-tumble-as-investors-pause-ai-rally-3598935,https://finance.yahoo.com/quote/NVDA/history/,"This is an ambiguous control case. The reported DOJ subpoena story was published after the regular close and should not be used as the cause of the 9.52% daytime decline."
TECH-004,NVDA,NVIDIA Corporation,2025-01-20,2025-01-27,before_open,down,-16.97,-2.91,-14.06,-7.18,818830900,199718000,4.10,competitive_technology_shock,"DeepSeek-R1's apparent capability and efficiency triggered doubts about the amount of high-end compute required by leading AI models.",AI_infrastructure_spending_expectations,sector_wide,High,https://deepseek.com/en/news/deepseek-r1/,https://m.investing.com/news/stock-market-news/chinas-deepseek-sets-off-ai-market-rout-3831131?ampMode=1,https://finance.yahoo.com/quote/NVDA/history/,"The trigger attribution is strong, but whether efficient models reduce or expand aggregate compute demand was unresolved; the fundamental interpretation is less certain than the price attribution."
TECH-005,HPQ,HP Inc.,2022-04-06,2022-04-07,after_close,up,14.75,0.24,14.51,7.02,94455200,16956000,5.57,ownership_disclosure,"An SEC filing disclosed that Berkshire Hathaway had accumulated an approximately 11.4% stake in HP.",investor_endorsement_and_incremental_share_demand,idiosyncratic,High,https://www.sec.gov/Archives/edgar/data/1067983/000089924322014160/0000899243-22-014160-index.htm,https://www.investing.com/news/stock-market-news/hp-soars-to-a-record-after-buffetts-berkshire-reveals-42-billion-stake-2799964,https://finance.yahoo.com/quote/HPQ/history/,"The filing cleanly explains the trading shock, but an ownership disclosure is not direct evidence of improved operating fundamentals."
TECH-006,HPQ,HP Inc.,2023-08-29,2023-08-30,after_close,down,-6.63,0.56,-7.19,-4.71,22465500,4938700,4.55,earnings_and_guidance,"HP cut its full-year adjusted EPS range after revenue missed expectations amid a slower PC recovery and weak demand in China.",PC_demand_revenue_and_earnings_expectations,idiosyncratic,High,https://investor.hp.com/news-events/news/news-details/2023/HP-Inc.-Reports-Fiscal-2023-Third-Quarter-Results/default.aspx,https://apnews.com/article/c9387dd5ecbf1028d72aaad79baa33dc,https://finance.yahoo.com/quote/HPQ/history/,"The broad technology benchmark rose, strengthening the case for a stock-specific earnings attribution."
TECH-007,HPQ,HP Inc.,2024-05-29,2024-05-30,after_close,up,16.95,-1.07,18.02,12.88,38253600,6456150,5.93,earnings_and_demand_signal,"Revenue and adjusted EPS edged above expectations, while Personal Systems revenue returned to year-over-year growth and signaled a PC-market recovery.",PC_refresh_demand_and_earnings_expectations,idiosyncratic,High,https://investor.hp.com/news-events/news/news-details/2024/HP-Inc.-Reports-Fiscal-2024-Second-Quarter-Results/default.aspx,https://apnews.com/article/c3a5a17d2c2fbc54c22dd11ff952c3f6,https://finance.yahoo.com/quote/HPQ/history/,"Printing revenue remained weak, so the bullish interpretation rested mainly on Personal Systems and the recovery signal."
TECH-008,HPQ,HP Inc.,2025-05-28,2025-05-29,after_close,down,-8.27,0.20,-8.47,-4.18,26462900,7166100,3.69,earnings_tariffs_and_guidance,"HP missed profit expectations and cut its annual EPS outlook to reflect tariff-related costs, moderated demand and macroeconomic uncertainty.",tariffs_input_costs_margins_and_PC_demand,idiosyncratic_with_macro_link,High,https://investor.hp.com/news-events/news/news-details/2025/HP-Inc--Reports-Fiscal-2025-Second-Quarter-Results/default.aspx,https://www.investing.com/news/stock-market-news/hp-cuts-annual-profit-forecast-as-tariffs-weigh-on-demand-shares-fall-4068779,https://finance.yahoo.com/quote/HPQ/history/,"Tariff policy was changing quickly, so the durability of the earnings impact was less certain than the immediate attribution."
TECH-009,INTC,Intel Corporation,2024-08-01,2024-08-02,after_close,down,-26.06,-2.37,-23.69,-13.61,300895900,53734950,5.60,earnings_and_restructuring,"Intel reported weak results and outlook, announced a $10 billion cost-reduction plan and major workforce cuts, and said it would suspend the dividend.",turnaround_credibility_cash_flow_and_capital_allocation,idiosyncratic_with_sector_readthrough,High,https://www.intc.com/news-events/press-releases/detail/1704/intel-reports-second-quarter-2024-financial-results,https://m.au.investing.com/news/stock-market-news/intel-shares-set-to-fall-most-in-24-years-as-it-struggles-with-turnaround-3375003?ampMode=1,https://finance.yahoo.com/quote/INTC/history/,"A weak U.S. payroll report and broad risk-off session amplified the decline, but the 23.69-point QQQ underperformance was overwhelmingly company-specific."
TECH-010,META,"Meta Platforms, Inc.",2022-02-02,2022-02-03,after_close,down,-26.39,-4.05,-22.34,-16.54,188119900,21604700,8.71,earnings_and_user_growth_shock,"Meta issued weak growth guidance and disclosed Facebook's first sequential decline in daily active users, while highlighting competition and Apple's privacy changes.",user_growth_ad_monetization_and_platform_policy,idiosyncratic_with_platform_readthrough,High,https://investor.fb.com/files/doc_financials/2021/q4/FB-12.31.2021-Exhibit-99.1-Final.pdf,https://www.marketscreener.com/news/latest/Meta-s-huge-share-price-drop-shakes-world-tech-stocks-37739576/,https://finance.yahoo.com/quote/META/history/,"The technology market also sold off sharply, but Meta underperformed QQQ by 22.34 percentage points. The ticker was FB at the event date and later changed to META."
